anime_id,title,title_japanese,image_url,type,source,episodes,status,aired_string,duration,rating,score,scored_by,rank,popularity,studio,genre
11013,Inu x Boku SS,妖狐×僕SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,TV,Manga,12,Finished Airing,"Jan 13, 2012 to Mar 30, 2012",24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,1274.0,231,David Production,"Comedy, Supernatural, Romance, Shounen"
2104,Seto no Hanayome,瀬戸の花嫁,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,TV,Manga,26,Finished Airing,"Apr 2, 2007 to Oct 1, 2007",24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,727.0,366,Gonzo,"Comedy, Parody, Romance, School, Shounen"
5262,Shugo Chara!! Doki,しゅごキャラ！！どきっ,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,TV,Manga,51,Finished Airing,"Oct 4, 2008 to Sep 25, 2009",24 min. per ep.,PG - Children,7.55,37129,1508.0,1173,Satelight,"Comedy, Magic, School, Shoujo"
721,Princess Tutu,プリンセスチュチュ,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,TV,Original,38,Finished Airing,"Aug 16, 2002 to May 23, 2003",16 min. per ep.,PG-13 - Teens 13 or older,8.21,36501,307.0,916,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy"
12365,Bakuman. 3rd Season,バクマン。,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,TV,Manga,25,Finished Airing,"Oct 6, 2012 to Mar 30, 2013",24 min. per ep.,PG-13 - Teens 13 or older,8.67,107767,50.0,426,J.C.Staff,"Comedy, Drama, Romance, Shounen"
6586,Yume-iro Pâtissière,夢色パティシエール,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,TV,Manga,50,Finished Airing,"Oct 4, 2009 to Sep 26, 2010",24 min. per ep.,G - All Ages,8.03,21618,526.0,1630,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo"
178,Ultra Maniac,ウルトラマニアック,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,TV,Manga,26,Finished Airing,"May 20, 2003 to Nov 11, 2003",24 min. per ep.,G - All Ages,7.26,9663,2594.0,2490,Production Reed,"Magic, Comedy, Romance, School, Shoujo"
2787,Shakugan no Shana II (Second),灼眼のシャナII –Second–,https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,TV,Light novel,24,Finished Airing,"Oct 5, 2007 to Mar 28, 2008",24 min. per ep.,PG-13 - Teens 13 or older,7.72,126085,1066.0,332,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural"
4477,Nodame Cantabile: Paris-hen,のだめカンタービレ 巴里編,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,TV,Manga,11,Finished Airing,"Oct 10, 2008 to Dec 19, 2008",23 min. per ep.,PG-13 - Teens 13 or older,8.24,53908,281.0,988,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei"
853,Ouran Koukou Host Club,桜蘭高校ホスト部,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,TV,Manga,26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,205.0,69,Bones,"Comedy, Harem, Romance, School, Shoujo"
